"","mapped_ID","Cand1","District_Name","is_done","comments","Position","user_name","State_name","Sex","poll_no","Cand_Type","AC_no","DelimID","sa_no","Party","Year","Sub_Region","Votes","ID","Age","email","AC_name","X","X.1","Times_contested","Times_won"
"142",13797,"MANIYA THAKARSHIBHAI DEVJIBHAI","DAHOD","","","1",NA,"Gujarat","M","0","GEN",107,4,12,"BJP","2012","SAURASHTRA",86184,13797,59,NA,"BOTAD","","",1,1
"143",13808,"SANJAYKUMAR RAMANBHAI PATEL","DAHOD","","","1",NA,"Gujarat","M","0","GEN",108,4,12,"BJP","2012","SAURASHTRA",74761,13808,42,NA,"KHAMBHAT","","",1,1
"144",13822,"AMIT CHAVDA","DAHOD","","","1",NA,"Gujarat","M","0","GEN",110,4,12,"INC","2012","SAURASHTRA",81575,13822,35,NA,"ANKLAV","","",1,1
"145",13854,"PARMAR PUNAMBHAI MADHABHAI","CHHOTA UDAIPUR","yes","","1",NA,"Gujarat","M","0","GEN",114,4,12,"INC","2012","AHMEDABAD RURAL",65210,13854,50,NA,"SOJITRA","","",1,1
"146",13880,"GAUTAMBHAI RAVJIBHAI CHAUHAN","VADODARA","yes","","1",NA,"Gujarat","M","0","GEN",117,4,12,"INC","2012","AHMEDABAD RURAL",68767,13880,50,NA,"MEHEMDABAD","","",2,1
"147",13902,"SHANKERSINH VAGHELA (BAPU)","VADODARA","","","1",NA,"Gujarat","M","0","GEN",120,4,12,"INC","2012","AHMEDABAD RURAL",88641,13902,72,NA,"KAPADWANJ","","",1,1
"148",13926,"DAMOR GENDALBHAI MOTIBHAI","VADODARA","yes","","1",NA,"Gujarat","M","0","ST",123,4,12,"INC","2012","AHMEDABAD RURAL",68026,13926,61,NA,"SANTRAMPUR","","",1,1
"149",13938,"KHANT SAVITABEN VECHATBHAI","NARMADA","","","1",NA,"Gujarat","F","0","ST",125,4,12,"INC","2012","CENTRAL GUJARAT",56886,13938,52,NA,"MORVA HADAF","","",1,1
"150",13966,"KATARA  RAMESHBHAI BHURABHAI","BHARUCH","","","1",NA,"Gujarat","M","0","ST",129,4,12,"BJP","2012","CENTRAL GUJARAT",57828,13966,37,NA,"FATEPURA","","",1,1
"151",13967,"GARASIYA MITESHBHAI KALABHAI","BHARUCH","","","1",NA,"Gujarat","M","0","ST",130,4,12,"INC","2012","CENTRAL GUJARAT",78077,13967,48,NA,"JHALOD","","",1,1
"152",13979,"PANADA VAJESINGBHAI PARSINGBHAI","BHARUCH","yes","","1",NA,"Gujarat","M","0","ST",132,4,12,"INC","2012","CENTRAL GUJARAT",73956,13979,51,NA,"DAHOD","","",2,2
"153",13981,"BHABHOR JASWANTSINH SUMANBHAI","BHARUCH","yes","","1",NA,"Gujarat","M","0","ST",131,4,12,"BJP","2012","CENTRAL GUJARAT",67219,10099,46,NA,"LIMKHEDA","","",9,6
"154",13991,"BARIYA CHANDRIKABEN CHHAGANBHAI","BHARUCH","","","1",NA,"Gujarat","F","0","ST",133,4,12,"INC","2012","CENTRAL GUJARAT",69295,13991,48,NA,"GARBADA","","",1,1
"155",14004,"INAMDAR KETANBHAI MAHENDRABHAI","SURAT","","","1",NA,"Gujarat","M","0","GEN",135,4,12,"IND","2012","SOUTH GUJARAT",62849,14004,34,NA,"SAVLI","","",1,1
"156",14025,"RATHAVA JAYANTIBHAI SAVAJIBHAI","SURAT","","","1",NA,"Gujarat","M","0","ST",138,4,12,"BJP","2012","SOUTH GUJARAT",61966,14025,39,NA,"JETPUR","","",1,1
"157",14038,"BALKRISHNABHAI NARANBHAI PATEL","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",140,4,12,"BJP","2012","SOUTH GUJARAT",70833,14038,56,NA,"DABHOI","","",1,1
"158",14043,"VAKIL MANISHA RAJIVBHAI","SURAT","","","1",NA,"Gujarat","F","0","SC",141,4,12,"BJP","2012","SOUTH GUJARAT",103700,14043,37,NA,"VADODARA CITY","","",1,1
"159",14062,"SAURABH PATEL","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",143,4,12,"BJP","2012","SOUTH GUJARAT",95554,14062,54,NA,"AKOTA","","",4,4
"160",14075,"RAJENDRA TRIVEDI (RAJUBHAI VAKIL)","SURAT","","","1",NA,"Gujarat","M","0","GEN",144,4,12,"BJP","2012","SOUTH GUJARAT",99263,14075,58,NA,"RAOPURA","","",1,1
"161",14078,"YOGESH PATEL","SURAT","yes","","1",NA,"Gujarat","M","0","GEN",145,4,12,"BJP","2012","SOUTH GUJARAT",92642,14078,66,NA,"MANJALPUR","","",6,6
"162",14095,"SATISHBHAI MOTIBHAI PATEL","SURAT","","","1",NA,"Gujarat","M","0","GEN",147,4,12,"BJP","2012","SOUTH GUJARAT",68225,14095,48,NA,"KARANJ","","",1,1
"163",14112,"TADVI SHABDASHARAN BHAILALBHAI","SURAT","","","1",NA,"Gujarat","M","0","ST",148,4,12,"BJP","2012","SOUTH GUJARAT",79580,14112,47,NA,"NANDOD","","",1,1
"164",14149,"DUSHYANTBHAI RAJNIKANT PATEL","TAPI","yes","","1",NA,"Gujarat","M","0","GEN",153,4,12,"BJP","2012","SOUTH GUJARAT",92219,14149,47,NA,"BHARUCH","","",2,2
"165",14178,"MUKESHBHAI ZINABHAI PATEL","DANG","yes","","1",NA,"Gujarat","M","0","GEN",155,4,12,"BJP","2012","SOUTH GUJARAT",106805,14178,42,NA,"OLPAD","","",1,1
"166",14186,"VASAVA PRABUBHAI NAGARBHAI","NAVSARI","yes","","1",NA,"Gujarat","M","0","ST",157,4,12,"INC","2012","SOUTH GUJARAT",83298,14186,42,NA,"MANDVI","","",2,2
"167",14195,"PANSHERIYA PRAFULBHAI CHHAGANBHAI","NAVSARI","","","1",NA,"Gujarat","M","0","GEN",158,4,12,"BJP","2012","SOUTH GUJARAT",126032,14195,41,NA,"KAMREJ","","",1,1
"168",14217,"CHOKSI AJAYKUMAR  JASHVANTLAL","VALSAD","","","1",NA,"Gujarat","M","0","GEN",160,4,12,"BJP","2012","SOUTH GUJARAT",59690,14217,56,NA,"SURAT NORTH","","",1,1
"169",14237,"KANANI KISHORBHAI SHIVABHAI (KUMAR)","VALSAD","","","1",NA,"Gujarat","M","0","GEN",161,4,12,"BJP","2012","SOUTH GUJARAT",68529,14237,50,NA,"VARACHHA ROAD","","",1,1
"170",14239,"KACHHADIYA JANAKBHAI MANJIBHAI","SURAT","","","1",NA,"Gujarat","M","0","GEN",162,4,12,"BJP","2012","SOUTH GUJARAT",65696,14239,44,NA,"KARANJ","","",1,1
"171",14252,"PATIL SANGITABEN RAJENDRABHAI","SURAT","","","1",NA,"Gujarat","F","0","GEN",163,4,12,"BJP","2012","SOUTH GUJARAT",79744,14252,37,NA,"LIMBAYAT","","",1,1
"172",14273,"SANGHVI HARSH RAMESHKUMAR","SURAT","","","1",NA,"Gujarat","M","0","GEN",165,4,12,"BJP","2012","SOUTH GUJARAT",103577,14273,27,NA,"MAJURA","","",1,1
"173",14288,"KISHORBHAI RATILAL VANKAWALA","SURAT","","","1",NA,"Gujarat","M","0","GEN",167,4,12,"BJP","2012","SOUTH GUJARAT",99099,14288,67,NA,"SURAT WEST","","",1,1
"174",14293,"RAJENDRABHAI PARABHUBHAI PATEL (RAJABHAI)","SURAT","","","1",NA,"Gujarat","M","0","GEN",168,4,12,"BJP","2012","SOUTH GUJARAT",119917,14293,57,NA,"CHORASI","","",1,1
"175",14308,"PARMAR ISHWARBHAI ALIAS ANILBHAI RAMANBHAI","SURAT","","","1",NA,"Gujarat","M","0","SC",169,4,12,"BJP","2012","SOUTH GUJARAT",81049,14308,41,NA,"BARDOLI","","",1,1
"176",14345,"GAVIT MANGALBHAI GANGAJIBHAI","DANG","","","1",NA,"Gujarat","M","0","ST",173,4,12,"INC","2012","SOUTH GUJARAT",45637,14345,52,NA,"DANGS","","",1,1
"177",14351,"DESAI PIYUSHBHAI DINKARBHAI","NAVSARI","","","1",NA,"Gujarat","M","0","GEN",175,4,12,"BJP","2012","SOUTH GUJARAT",81601,14351,52,NA,"NAVSARI","","",1,1
"178",14362,"MANGUBHAI CHHAGANBHAI PATEL","NAVSARI","yes","","1",NA,"Gujarat","M","0","ST",176,4,12,"BJP","2012","SOUTH GUJARAT",104417,14362,68,NA,"GANDEVI","","",8,6
"179",14370,"ISHWARBHAI DHEDABHAI PATEL","VALSAD","","","1",NA,"Gujarat","M","0","ST",178,4,12,"INC","2012","SOUTH GUJARAT",82319,14370,51,NA,"DHARAMPUR","","",1,1
"180",14374,"BHARATBHAI KIKUBHAI PATEL","VALSAD","yes","","1",NA,"Gujarat","M","0","GEN",179,4,12,"BJP","2012","SOUTH GUJARAT",93658,14374,54,NA,"VALSAD","","",1,1
"181",14382,"KANUBHAI MOHANLAL DESAI","VALSAD","","","1",NA,"Gujarat","M","0","GEN",180,4,12,"BJP","2012","SOUTH GUJARAT",84563,14382,60,NA,"PARDI","","",1,1
"182",14395,"CHAUDHARI JITUBHAI HARJIBHAI","VALSAD","yes","","1",NA,"Gujarat","M","0","ST",181,4,12,"INC","2012","SOUTH GUJARAT",85780,14395,48,NA,"KAPRADA","","",3,3
